date,global_market_cap,basket_return_since_entry,benchmark_return_since_entry,alpha_since_entry,exec_adjusted_return_since_entry,turnover_bps,macro_regime,eject_delta,ejected_syms,entrants_syms,n_holdings,rebalanced
2026-08-09,2297713265946.0,1.693,0.049,1.644,1.654,1560.0,N/A,1.984,BONK,BNB,11,True
2026-08-10,2307278784025.0,1.961,0.466,1.495,1.959,0.0,N/A,,,,11,False
2026-08-11,2269226059342.0,0.923,-1.191,2.114,0.925,0.0,RISK-ON,,,,11,False
2026-08-12,2269099314446.0,0.747,-1.197,1.943,0.722,1029.0,RISK-ON,-0.0,,HOLO,12,True
2026-08-13,2275006714302.0,1.659,-0.939,2.598,1.623,1413.0,RISK-ON,-0.0,HOLO,LINK,12,True
2026-08-14,2249778824590.0,0.855,-2.038,2.893,0.836,789.0,RISK-ON,3.693,ADA,,11,True
2026-08-15,2254292365594.0,2.739,-1.841,4.58,2.71,1129.0,RISK-ON,9.856,LEO,AKE,11,True
2026-08-16,2251033333308.0,2.324,-1.983,4.308,2.299,953.0,RISK-ON,-8.841,AKE,LEO,11,True
2026-08-17,2267891480465.0,4.354,-1.249,5.603,4.356,0.0,RISK-ON,,,,11,False
2026-08-18,2280177725896.0,4.699,-0.714,5.414,4.698,0.0,RISK-ON,,,,11,False
2026-08-19,2474492077004.0,13.174,7.747,5.427,13.134,1637.0,RISK-ON,-0.216,LEO,SOL,12,True
