date,total_mcap,total_mcap_ex_btc,total_volume,btc_dominance,eth_dominance,eth_btc_dominance_ratio,mcap_chg_24h,stable_mcap,stable_volume,stable_velocity,stable_regime,funding_heat_apr,board_mean_conviction
2026-08-19,2458600913929.1187,1066561375108.92,110438556934.82681,56.61917438221267,11.052401309886829,0.19521,7.267404068235381,278861287160.0,95293414825.0,0.34172,UNCONFIRMED,10.95,17.85
2026-08-20,2397620135673.1235,999969189853.1,127285823810.01166,58.29326026358388,11.352044636061166,0.19474,5.299164133394777,278940552903.0,110686797009.0,0.39681,MIXED,10.95,17.76
2026-08-21,2559200439727.506,1043661184385.09,143112143884.70193,59.21924800480976,11.164669833994022,0.18853,3.890582135816842,279432361388.0,126295182191.0,0.45197,MIXED,10.95,17.08
2026-08-22,2644315785825.4463,1093653424042.96,192462521671.29114,58.641345715766505,11.08674567771994,0.18906,0.9953935425493632,280425483242.0,159613292767.0,0.56918,RISK-ON,10.95,21.15
2026-08-23,2569275941494.1934,1046223727235.64,92908275031.6904,59.27943315317091,11.177991577143487,0.18856,-5.051499751700298,280464912819.0,76670158942.0,0.27337,RISK-ON,10.95,18.44
2026-08-24,2623029639674.0254,1068989832109.22,87990332517.74338,59.245987314040896,11.299940344408272,0.19073,-0.5131627808574218,280356954549.0,73633488144.0,0.26264,RISK-ON,10.95,18.6
2026-08-25,2725202235841.935,1108001127356.38,133509145514.48352,59.342425571800916,11.082642749653926,0.18676,1.3433458614559195,280357446899.0,117536746828.0,0.41924,RISK-ON,10.95,17.88
2026-08-26,2666254069344.845,1086051117280.7,88546321403.55464,59.26678069552606,11.102006135118778,0.18732,-4.337337109921936,280423842552.0,75779019493.0,0.27023,RISK-ON,10.95,17.36
2026-08-27,2725571929615.0776,1109405922905.42,97785612694.26736,59.296399010753774,11.145651566297403,0.18797,0.7847233426004842,280714803330.0,83291764442.0,0.29671,RISK-ON,4.8727,18.19
2026-08-28,2629986507526.5034,1077401948497.27,97643102775.37872,59.03393628013074,11.116695197226385,0.18831,-5.765805232027302,280809417065.0,86212757378.0,0.30702,MIXED,10.6215,17.41
2026-08-29,2635710696492.58,1081201780102.51,77868457784.18498,58.97873838956234,11.129796240077653,0.18871,-4.71527290976618,281139196681.0,66871663871.0,0.23786,MIXED,5.6393,17.12
2026-08-30,2629920937555.041,1065623278255.1,40396341889.091705,59.48078654996439,11.24775131926904,0.1891,-2.7013451204892904,281069888309.0,32099572016.0,0.1142,MIXED,10.95,16.49
2026-08-31,2633117427132.858,1076021408355.81,80958376130.69896,59.13507702816476,11.144117004887397,0.18845,-2.9731004207409386,280741995060.0,68571012354.0,0.24425,MIXED,0.438,17.03
2026-09-01,2628181097459.5547,1063406773274.1,77001748099.24632,59.53829915670534,11.270328789280716,0.1893,-3.0250709392639705,280536049577.0,66452236807.0,0.23688,MIXED,10.95,17.94
2026-09-02,2603478843065.0117,1066023499784.2,81367899441.11592,59.05388274524246,11.114714948149654,0.18821,-4.208532028373163,280845830382.0,68879974104.0,0.24526,MIXED,10.95,18.37
2026-09-03,2619485682565.6104,1059415712961.8,73329921364.25652,59.55634649912736,11.161692618669337,0.18741,-1.9111818077468181,280797785226.0,60909829521.0,0.21692,MIXED,10.95,19.6
