date,venue,status,http_status,policy_blocked,markets
2026-08-18,binance,unreachable,451,True,0
2026-08-18,bybit,unreachable,403,True,0
2026-08-18,coinbase,live,,False,77
2026-08-18,dydx,live,,False,77
2026-08-18,gateio,live,,False,138
2026-08-18,hyperliquid,live,,False,91
2026-08-18,kraken,live,,False,94
2026-08-18,xoomar,live,,False,27
2026-08-19,binance,unreachable,451,True,0
2026-08-19,bybit,unreachable,403,True,0
2026-08-19,coinbase,live,,False,77
2026-08-19,dydx,live,,False,77
2026-08-19,gateio,live,,False,140
2026-08-19,hyperliquid,live,,False,91
2026-08-19,kraken,live,,False,93
2026-08-19,xoomar,live,,False,27
2026-08-20,binance,unreachable,451,True,0
2026-08-20,bybit,unreachable,403,True,0
2026-08-20,coinbase,live,,False,77
2026-08-20,dydx,live,,False,77
2026-08-20,gateio,live,,False,142
2026-08-20,hyperliquid,live,,False,92
2026-08-20,kraken,live,,False,93
2026-08-20,xoomar,live,,False,27
2026-08-21,binance,unreachable,451,True,0
2026-08-21,bybit,unreachable,403,True,0
2026-08-21,coinbase,live,,False,77
2026-08-21,dydx,live,,False,77
2026-08-21,gateio,live,,False,140
2026-08-21,hyperliquid,live,,False,92
2026-08-21,kraken,live,,False,93
2026-08-21,xoomar,live,,False,27
2026-08-22,binance,unreachable,451,True,0
2026-08-22,bybit,unreachable,403,True,0
2026-08-22,coinbase,live,,False,78
2026-08-22,dydx,live,,False,78
2026-08-22,gateio,live,,False,145
2026-08-22,hyperliquid,live,,False,95
2026-08-22,kraken,live,,False,97
2026-08-22,xoomar,live,,False,27
2026-08-23,binance,unreachable,451,True,0
2026-08-23,bybit,unreachable,403,True,0
2026-08-23,coinbase,live,,False,77
2026-08-23,dydx,live,,False,77
2026-08-23,gateio,live,,False,143
2026-08-23,hyperliquid,live,,False,93
2026-08-23,kraken,live,,False,94
2026-08-23,xoomar,live,,False,27
2026-08-24,binance,unreachable,451,True,0
2026-08-24,bybit,unreachable,403,True,0
2026-08-24,coinbase,live,,False,78
2026-08-24,dydx,live,,False,78
2026-08-24,gateio,live,,False,144
2026-08-24,hyperliquid,live,,False,94
2026-08-24,kraken,live,,False,96
2026-08-24,xoomar,live,,False,27
2026-08-25,binance,unreachable,451,True,0
2026-08-25,bybit,unreachable,403,True,0
2026-08-25,coinbase,live,,False,78
2026-08-25,dydx,live,,False,78
2026-08-25,gateio,live,,False,143
2026-08-25,hyperliquid,live,,False,94
2026-08-25,kraken,live,,False,96
2026-08-25,xoomar,live,,False,27
2026-08-26,binance,live,,False,129
2026-08-26,bybit,live,,False,134
2026-08-26,coinbase,live,,False,78
2026-08-26,dydx,live,,False,78
2026-08-26,gateio,live,,False,145
2026-08-26,hyperliquid,live,,False,94
2026-08-26,kraken,live,,False,95
2026-08-26,xoomar,live,,False,27
2026-08-27,binance,unreachable,451,True,0
2026-08-27,bybit,unreachable,403,True,0
2026-08-27,coinbase,live,,False,74
2026-08-27,dydx,live,,False,78
2026-08-27,gateio,live,,False,146
2026-08-27,hyperliquid,live,,False,95
2026-08-27,kraken,live,,False,96
2026-08-27,xoomar,live,,False,27
2026-08-28,binance,unreachable,451,True,0
2026-08-28,bybit,unreachable,403,True,0
2026-08-28,coinbase,live,,False,74
2026-08-28,dydx,live,,False,78
2026-08-28,gateio,live,,False,145
2026-08-28,hyperliquid,live,,False,95
2026-08-28,kraken,live,,False,96
2026-08-28,xoomar,live,,False,27
2026-08-29,binance,unreachable,451,True,0
2026-08-29,bybit,unreachable,403,True,0
2026-08-29,coinbase,live,,False,74
2026-08-29,dydx,live,,False,78
2026-08-29,gateio,live,,False,143
2026-08-29,hyperliquid,live,,False,95
2026-08-29,kraken,live,,False,96
2026-08-29,xoomar,live,,False,27
2026-08-30,binance,unreachable,451,True,0
2026-08-30,bybit,unreachable,403,True,0
2026-08-30,coinbase,live,,False,74
2026-08-30,dydx,live,,False,77
2026-08-30,gateio,live,,False,144
2026-08-30,hyperliquid,live,,False,92
2026-08-30,kraken,live,,False,95
2026-08-30,xoomar,live,,False,27
